Using cpu device

🎯 Start training block 0
---------------------------------
| rollout/           |          |
|    policy_gradient_loss | -0.00536   |
|    value_loss           | 408        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 56.6        |
|    ep_rew_mean          | 2.03        |
| time/                   |             |
|    fps                  | 500         |
|    iterations           | 9           |
|    time_elapsed         | 36          |
|    total_timesteps      | 847872      |
| train/                  |             |
|    approx_kl            | 0.005875742 |
|    clip_fraction        | 0.0486      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.98       |
|    explained_variance   | 0.658       |
|    learning_rate        | 0.0003      |
|    loss                 | 118         |
|    n_updates            | 4130        |
|    policy_gradient_loss | -0.00396    |
|    value_loss           | 395         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 59.5       |
|    ep_rew_mean          | 3.33       |
| time/                   |            |
|    fps                  | 500        |
|    iterations           | 10         |
|    time_elapsed         | 40         |
|    total_timesteps      | 849920     |
| train/                  |            |
|    approx_kl            | 0.00986414 |
|    clip_fraction        | 0.088      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.02      |
|    explained_variance   | 0.553      |
|    learning_rate        | 0.0003     |
|    loss                 | 212        |
|    n_updates            | 4140       |
|    policy_gradient_loss | -0.00452   |
|    value_loss           | 356        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 59          |
|    ep_rew_mean          | -7.13       |
| time/                   |             |
|    fps                  | 500         |
|    iterations           | 11          |
|    time_elapsed         | 45          |
|    total_timesteps      | 851968      |
| train/                  |             |
|    approx_kl            | 0.015972028 |
|    clip_fraction        | 0.0991      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.06       |
|    explained_variance   | 0.685       |
|    learning_rate        | 0.0003      |
|    loss                 | 103         |
|    n_updates            | 4150        |
|    policy_gradient_loss | -0.0044     |
|    value_loss           | 325         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.4        |
|    ep_rew_mean          | 1.88        |
| time/                   |             |
|    fps                  | 497         |
|    iterations           | 12          |
|    time_elapsed         | 49          |
|    total_timesteps      | 854016      |
| train/                  |             |
|    approx_kl            | 0.012594918 |
|    clip_fraction        | 0.0842      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.05       |
|    explained_variance   | 0.733       |
|    learning_rate        | 0.0003      |
|    loss                 | 120         |
|    n_updates            | 4160        |
|    policy_gradient_loss | -0.00262    |
|    value_loss           | 304         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 54.6        |
|    ep_rew_mean          | 5.31        |
| time/                   |             |
|    fps                  | 496         |
|    iterations           | 13          |
|    time_elapsed         | 53          |
|    total_timesteps      | 856064      |
| train/                  |             |
|    approx_kl            | 0.004285406 |
|    clip_fraction        | 0.0618      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.08       |
|    explained_variance   | 0.682       |
|    learning_rate        | 0.0003      |
|    loss                 | 54.4        |
|    n_updates            | 4170        |
|    policy_gradient_loss | -0.00542    |
|    value_loss           | 338         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.3        |
|    ep_rew_mean          | 3.28        |
| time/                   |             |
|    fps                  | 494         |
|    iterations           | 14          |
|    time_elapsed         | 57          |
|    total_timesteps      | 858112      |
| train/                  |             |
|    approx_kl            | 0.010460512 |
|    clip_fraction        | 0.0718      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.11       |
|    explained_variance   | 0.61        |
|    learning_rate        | 0.0003      |
|    loss                 | 91.9        |
|    n_updates            | 4180        |
|    policy_gradient_loss | -0.000227   |
|    value_loss           | 404         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 57.8         |
|    ep_rew_mean          | 11.9         |
| time/                   |              |
|    fps                  | 495          |
|    iterations           | 15           |
|    time_elapsed         | 61           |
|    total_timesteps      | 860160       |
| train/                  |              |
|    approx_kl            | 0.0060744113 |
|    clip_fraction        | 0.0595       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.16        |
|    explained_variance   | 0.652        |
|    learning_rate        | 0.0003       |
|    loss                 | 105          |
|    n_updates            | 4190         |
|    policy_gradient_loss | -0.00407     |
|    value_loss           | 396          |
------------------------------------------
👁️  Visualizing test match
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player hit the ball, reward applied (+5x1).
Player is touching the ball while on ground, reward applied (+1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Ball touching ground on ai's side, penalty applied (-70).
Player is above the ball, penalty applied (-1).
💾 Saving model at block 27

🎯 Start training block 28
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 57.2     |
|    ep_rew_mean     | 12.7     |
| time/              |          |
|    fps             | 600      |
|    iterations      | 1        |
|    time_elapsed    | 3        |
|    total_timesteps | 862208   |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 62.7         |
|    ep_rew_mean          | 12.1         |
| time/                   |              |
|    fps                  | 517          |
|    iterations           | 2            |
|    time_elapsed         | 7            |
|    total_timesteps      | 864256       |
| train/                  |              |
|    approx_kl            | 0.0054497593 |
|    clip_fraction        | 0.0562       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.23        |
|    explained_variance   | 0.588        |
|    learning_rate        | 0.0003       |
|    loss                 | 157          |
|    n_updates            | 4210         |
|    policy_gradient_loss | -0.00227     |
|    value_loss           | 375          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 61.4        |
|    ep_rew_mean          | 4.34        |
| time/                   |             |
|    fps                  | 498         |
|    iterations           | 3           |
|    time_elapsed         | 12          |
|    total_timesteps      | 866304      |
| train/                  |             |
|    approx_kl            | 0.005447524 |
|    clip_fraction        | 0.0541      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.24       |
|    explained_variance   | 0.551       |
|    learning_rate        | 0.0003      |
|    loss                 | 156         |
|    n_updates            | 4220        |
|    policy_gradient_loss | -0.00391    |
|    value_loss           | 390         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 60.1        |
|    ep_rew_mean          | 3.27        |
| time/                   |             |
|    fps                  | 489         |
|    iterations           | 4           |
|    time_elapsed         | 16          |
|    total_timesteps      | 868352      |
| train/                  |             |
|    approx_kl            | 0.008570276 |
|    clip_fraction        | 0.0691      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.18       |
|    explained_variance   | 0.676       |
|    learning_rate        | 0.0003      |
|    loss                 | 161         |
|    n_updates            | 4230        |
|    policy_gradient_loss | -0.00306    |
|    value_loss           | 335         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 56.7         |
|    ep_rew_mean          | 12           |
| time/                   |              |
|    fps                  | 488          |
|    iterations           | 5            |
|    time_elapsed         | 20           |
|    total_timesteps      | 870400       |
| train/                  |              |
|    approx_kl            | 0.0067624794 |
|    clip_fraction        | 0.0438       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.16        |
|    explained_variance   | 0.589        |
|    learning_rate        | 0.0003       |
|    loss                 | 158          |
|    n_updates            | 4240         |
|    policy_gradient_loss | -0.0043      |
|    value_loss           | 371          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 56.1        |
|    ep_rew_mean          | 1.15        |
| time/                   |             |
|    fps                  | 497         |
|    iterations           | 6           |
|    time_elapsed         | 24          |
|    total_timesteps      | 872448      |
| train/                  |             |
|    approx_kl            | 0.010408066 |
|    clip_fraction        | 0.0922      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.15       |
|    explained_variance   | 0.606       |
|    learning_rate        | 0.0003      |
|    loss                 | 158         |
|    n_updates            | 4250        |
|    policy_gradient_loss | -0.00554    |
|    value_loss           | 407         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.8        |
|    ep_rew_mean          | -8.14       |
| time/                   |             |
|    fps                  | 493         |
|    iterations           | 7           |
|    time_elapsed         | 29          |
|    total_timesteps      | 874496      |
| train/                  |             |
|    approx_kl            | 0.013441832 |
|    clip_fraction        | 0.0964      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.16       |
|    explained_variance   | 0.595       |
|    learning_rate        | 0.0003      |
|    loss                 | 253         |
|    n_updates            | 4260        |
|    policy_gradient_loss | -0.00424    |
|    value_loss           | 443         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 55.6        |
|    ep_rew_mean          | -8.45       |
| time/                   |             |
|    fps                  | 490         |
|    iterations           | 8           |
|    time_elapsed         | 33          |
|    total_timesteps      | 876544      |
| train/                  |             |
|    approx_kl            | 0.012820792 |
|    clip_fraction        | 0.0686      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.18       |
|    explained_variance   | 0.556       |
|    learning_rate        | 0.0003      |
|    loss                 | 153         |
|    n_updates            | 4270        |
|    policy_gradient_loss | -0.00569    |
|    value_loss           | 460         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 57.6       |
|    ep_rew_mean          | 0.0174     |
| time/                   |            |
|    fps                  | 488        |
|    iterations           | 9          |
|    time_elapsed         | 37         |
|    total_timesteps      | 878592     |
| train/                  |            |
|    approx_kl            | 0.01344314 |
|    clip_fraction        | 0.108      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.16      |
|    explained_variance   | 0.642      |
|    learning_rate        | 0.0003     |
|    loss                 | 123        |
|    n_updates            | 4280       |
|    policy_gradient_loss | -0.00373   |
|    value_loss           | 330        |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 62.3         |
|    ep_rew_mean          | 1.91         |
| time/                   |              |
|    fps                  | 489          |
|    iterations           | 10           |
|    time_elapsed         | 41           |
|    total_timesteps      | 880640       |
| train/                  |              |
|    approx_kl            | 0.0066119796 |
|    clip_fraction        | 0.0563       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.16        |
|    explained_variance   | 0.633        |
|    learning_rate        | 0.0003       |
|    loss                 | 117          |
|    n_updates            | 4290         |
|    policy_gradient_loss | -0.00485     |
|    value_loss           | 356          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 66.6        |
|    ep_rew_mean          | -4.48       |
| time/                   |             |
|    fps                  | 489         |
|    iterations           | 11          |
|    time_elapsed         | 46          |
|    total_timesteps      | 882688      |
| train/                  |             |
|    approx_kl            | 0.006070816 |
|    clip_fraction        | 0.073       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.14       |
|    explained_variance   | 0.467       |
|    learning_rate        | 0.0003      |
|    loss                 | 121         |
|    n_updates            | 4300        |
|    policy_gradient_loss | -0.00265    |
|    value_loss           | 305         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 64.9        |
|    ep_rew_mean          | -0.942      |
| time/                   |             |
|    fps                  | 488         |
|    iterations           | 12          |
|    time_elapsed         | 50          |
|    total_timesteps      | 884736      |
| train/                  |             |
|    approx_kl            | 0.013765553 |
|    clip_fraction        | 0.0892      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.13       |
|    explained_variance   | 0.546       |
|    learning_rate        | 0.0003      |
|    loss                 | 166         |
|    n_updates            | 4310        |
|    policy_gradient_loss | -0.00384    |
|    value_loss           | 411         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 57.2        |
|    ep_rew_mean          | 0.439       |
| time/                   |             |
|    fps                  | 492         |
|    iterations           | 13          |
|    time_elapsed         | 54          |
|    total_timesteps      | 886784      |
| train/                  |             |
|    approx_kl            | 0.009320783 |
|    clip_fraction        | 0.0896      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.12       |
|    explained_variance   | 0.53        |
|    learning_rate        | 0.0003      |
|    loss                 | 161         |
|    n_updates            | 4320        |
|    policy_gradient_loss | -0.00573    |
|    value_loss           | 367         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 57.1        |
|    ep_rew_mean          | 7.7         |
| time/                   |             |
|    fps                  | 490         |
|    iterations           | 14          |
|    time_elapsed         | 58          |
|    total_timesteps      | 888832      |
| train/                  |             |
|    approx_kl            | 0.011727288 |
|    clip_fraction        | 0.0873      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.13       |
|    explained_variance   | 0.615       |
|    learning_rate        | 0.0003      |
|    loss                 | 154         |
|    n_updates            | 4330        |
|    policy_gradient_loss | -0.00841    |
|    value_loss           | 369         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 59.3        |
|    ep_rew_mean          | 5.35        |
| time/                   |             |
|    fps                  | 490         |
|    iterations           | 15          |
|    time_elapsed         | 62          |
|    total_timesteps      | 890880      |
| train/                  |             |
|    approx_kl            | 0.009859173 |
|    clip_fraction        | 0.0864      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.11       |
|    explained_variance   | 0.689       |
|    learning_rate        | 0.0003      |
|    loss                 | 102         |
|    n_updates            | 4340        |
|    policy_gradient_loss | -0.00808    |
|    value_loss           | 316         |
-----------------------------------------
👁️  Visualizing test match
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player hit the ball, reward applied (+5x1).
Player is touching the ball while on ground, reward applied (+1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player hit the ball, reward applied (+5x0.8).
Player is touching the ball while on ground, reward applied (+1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Ball passed the net, reward applied (+14).
Player is jumping, penalty applied (-0.3).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player hit the ball, reward applied (+5x1).
Player is touching the ball while on ground, reward applied (+1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Ball touching ground on ai's side, penalty applied (-70).
Player is above the ball, penalty applied (-1).
💾 Saving model at block 28

🎯 Start training block 29
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 59.8     |
|    ep_rew_mean     | 11       |
| time/              |          |
|    fps             | 603      |
|    iterations      | 1        |
|    time_elapsed    | 3        |
|    total_timesteps | 892928   |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 61.2         |
|    ep_rew_mean          | 8.42         |
| time/                   |              |
|    fps                  | 522          |
|    iterations           | 2            |
|    time_elapsed         | 7            |
|    total_timesteps      | 894976       |
| train/                  |              |
|    approx_kl            | 0.0057621687 |
|    clip_fraction        | 0.0506       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.11        |
|    explained_variance   | 0.615        |
|    learning_rate        | 0.0003       |
|    loss                 | 69.7         |
|    n_updates            | 4360         |
|    policy_gradient_loss | -0.00338     |
|    value_loss           | 298          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 49.6        |
|    ep_rew_mean          | 5.31        |
| time/                   |             |
|    fps                  | 501         |
|    iterations           | 3           |
|    time_elapsed         | 12          |
|    total_timesteps      | 897024      |
| train/                  |             |
|    approx_kl            | 0.011329875 |
|    clip_fraction        | 0.0954      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.11       |
|    explained_variance   | 0.674       |
|    learning_rate        | 0.0003      |
|    loss                 | 119         |
|    n_updates            | 4370        |
|    policy_gradient_loss | -0.0042     |
|    value_loss           | 333         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 54.7        |
|    ep_rew_mean          | 7.43        |
| time/                   |             |
|    fps                  | 497         |
|    iterations           | 4           |
|    time_elapsed         | 16          |
|    total_timesteps      | 899072      |
| train/                  |             |
|    approx_kl            | 0.009769503 |
|    clip_fraction        | 0.0756      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.11       |
|    explained_variance   | 0.685       |
|    learning_rate        | 0.0003      |
|    loss                 | 291         |
|    n_updates            | 4380        |
|    policy_gradient_loss | -0.00283    |
|    value_loss           | 452         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 55.9        |
|    ep_rew_mean          | 10.8        |
| time/                   |             |
|    fps                  | 507         |
|    iterations           | 5           |
|    time_elapsed         | 20          |
|    total_timesteps      | 901120      |
| train/                  |             |
|    approx_kl            | 0.011861983 |
|    clip_fraction        | 0.0853      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.09       |
|    explained_variance   | 0.51        |
|    learning_rate        | 0.0003      |
|    loss                 | 124         |
|    n_updates            | 4390        |
|    policy_gradient_loss | -0.00694    |
|    value_loss           | 434         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 65.5        |
|    ep_rew_mean          | 16.9        |
| time/                   |             |
|    fps                  | 513         |
|    iterations           | 6           |
|    time_elapsed         | 23          |
|    total_timesteps      | 903168      |
| train/                  |             |
|    approx_kl            | 0.010273924 |
|    clip_fraction        | 0.0873      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.11       |
|    explained_variance   | 0.466       |
|    learning_rate        | 0.0003      |
|    loss                 | 61.1        |
|    n_updates            | 4400        |
|    policy_gradient_loss | -0.00533    |
|    value_loss           | 268         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 60.2        |
|    ep_rew_mean          | 12.7        |
| time/                   |             |
|    fps                  | 510         |
|    iterations           | 7           |
|    time_elapsed         | 28          |
|    total_timesteps      | 905216      |
| train/                  |             |
|    approx_kl            | 0.011563078 |
|    clip_fraction        | 0.102       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.12       |
|    explained_variance   | 0.581       |
|    learning_rate        | 0.0003      |
|    loss                 | 306         |
|    n_updates            | 4410        |
|    policy_gradient_loss | -0.00622    |
|    value_loss           | 316         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 54.7        |
|    ep_rew_mean          | 7.09        |
| time/                   |             |
|    fps                  | 508         |
|    iterations           | 8           |
|    time_elapsed         | 32          |
|    total_timesteps      | 907264      |
| train/                  |             |
|    approx_kl            | 0.007801598 |
|    clip_fraction        | 0.0901      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.08       |
|    explained_variance   | 0.645       |
|    learning_rate        | 0.0003      |
|    loss                 | 164         |
|    n_updates            | 4420        |
|    policy_gradient_loss | -0.00312    |
|    value_loss           | 342         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 58.2       |
|    ep_rew_mean          | 7.68       |
| time/                   |            |
|    fps                  | 504        |
|    iterations           | 9          |
|    time_elapsed         | 36         |
|    total_timesteps      | 909312     |
| train/                  |            |
|    approx_kl            | 0.01086635 |
|    clip_fraction        | 0.0684     |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.05      |
|    explained_variance   | 0.631      |
|    learning_rate        | 0.0003     |
|    loss                 | 199        |
|    n_updates            | 4430       |
|    policy_gradient_loss | -0.00369   |
|    value_loss           | 340        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 59.1        |
|    ep_rew_mean          | 3.3         |
| time/                   |             |
|    fps                  | 500         |
|    iterations           | 10          |
|    time_elapsed         | 40          |
|    total_timesteps      | 911360      |
| train/                  |             |
|    approx_kl            | 0.012965379 |
|    clip_fraction        | 0.0952      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.97       |
|    explained_variance   | 0.564       |
|    learning_rate        | 0.0003      |
|    loss                 | 109         |
|    n_updates            | 4440        |
|    policy_gradient_loss | -0.00403    |
|    value_loss           | 347         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 57.6        |
|    ep_rew_mean          | 10.6        |
| time/                   |             |
|    fps                  | 496         |
|    iterations           | 11          |
|    time_elapsed         | 45          |
|    total_timesteps      | 913408      |
| train/                  |             |
|    approx_kl            | 0.015533947 |
|    clip_fraction        | 0.0632      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.03       |
|    explained_variance   | 0.607       |
|    learning_rate        | 0.0003      |
|    loss                 | 168         |
|    n_updates            | 4450        |
|    policy_gradient_loss | -0.00427    |
|    value_loss           | 418         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 57.6        |
|    ep_rew_mean          | 12.4        |
| time/                   |             |
|    fps                  | 494         |
|    iterations           | 12          |
|    time_elapsed         | 49          |
|    total_timesteps      | 915456      |
| train/                  |             |
|    approx_kl            | 0.009338608 |
|    clip_fraction        | 0.0802      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.03       |
|    explained_variance   | 0.491       |
|    learning_rate        | 0.0003      |
|    loss                 | 118         |
|    n_updates            | 4460        |
|    policy_gradient_loss | -0.0013     |
|    value_loss           | 327         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 62.5        |
|    ep_rew_mean          | 22.6        |
| time/                   |             |
|    fps                  | 492         |
|    iterations           | 13          |
|    time_elapsed         | 54          |
|    total_timesteps      | 917504      |
| train/                  |             |
|    approx_kl            | 0.024608426 |
|    clip_fraction        | 0.127       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.96       |
|    explained_variance   | 0.609       |
|    learning_rate        | 0.0003      |
|    loss                 | 109         |
|    n_updates            | 4470        |
|    policy_gradient_loss | 0.000881    |
|    value_loss           | 276         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 68.1        |
|    ep_rew_mean          | 20.8        |
| time/                   |             |
|    fps                  | 492         |
|    iterations           | 14          |
|    time_elapsed         | 58          |
|    total_timesteps      | 919552      |
| train/                  |             |
|    approx_kl            | 0.013521869 |
|    clip_fraction        | 0.124       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.01       |
|    explained_variance   | 0.555       |
|    learning_rate        | 0.0003      |
|    loss                 | 92.4        |
|    n_updates            | 4480        |
|    policy_gradient_loss | -0.00535    |
|    value_loss           | 280         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 70.7        |
|    ep_rew_mean          | 21.8        |
| time/                   |             |
|    fps                  | 491         |
|    iterations           | 15          |
|    time_elapsed         | 62          |
|    total_timesteps      | 921600      |
| train/                  |             |
|    approx_kl            | 0.010188633 |
|    clip_fraction        | 0.0876      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.97       |
|    explained_variance   | 0.571       |
|    learning_rate        | 0.0003      |
|    loss                 | 135         |
|    n_updates            | 4490        |
|    policy_gradient_loss | -0.00725    |
|    value_loss           | 320         |
-----------------------------------------
👁️  Visualizing test match
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player hit the ball, reward applied (+5x1).
Player is touching the ball while on ground, reward applied (+1).
Ball passed the net, reward applied (+14).
Power hit, penalty applied (-0.2).
Power hit, penalty applied (-0.2).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player hit the ball, reward applied (+5x1).
Player is touching the ball while on ground, reward applied (+1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
